"productkey","storekey","risk_profile","total_cash_frozen","total_lost_revenue","total_estimated_impact","impact_bucket","recommended_action"
455,999999,mixed_or_stable,223945.04,1468323.060,1692268.100,1,No action – monitor only
444,999999,mixed_or_stable,178882.00,1156115.785,1334997.785,1,No action – monitor only
416,999999,mixed_or_stable,148164.575,936024.930,1084189.505,1,No action – monitor only
450,999999,mixed_or_stable,126359.20,954197.700,1080556.900,1,No action – monitor only
433,999999,mixed_or_stable,119270.075,888863.700,1008133.775,1,No action – monitor only
428,999999,mixed_or_stable,153782.950,796314.510,950097.460,1,No action – monitor only
146,999999,mixed_or_stable,116547.466,824143.808115,940691.274115,1,No action – monitor only
427,999999,mixed_or_stable,163161.92,704780.370,867942.290,1,No action – monitor only
438,999999,mixed_or_stable,143714.56,720716.560,864431.120,1,No action – monitor only
434,999999,mixed_or_stable,157700.85,706571.415,864272.265,1,No action – monitor only
422,999999,mixed_or_stable,133877.850,671202.075,805079.925,1,No action – monitor only
437,999999,mixed_or_stable,146671.93,584713.0340,731384.9640,1,No action – monitor only
445,999999,mixed_or_stable,119532.90,570054.225,689587.125,1,No action – monitor only
456,999999,mixed_or_stable,127501.76,522947.295,650449.055,1,No action – monitor only
429,999999,mixed_or_stable,129520.965,480747.8620,610268.8270,1,No action – monitor only
451,999999,mixed_or_stable,122489.09,478545.925,601035.015,1,No action – monitor only
145,999999,mixed_or_stable,79123.527,488175.616630,567299.143630,1,No action – monitor only
417,999999,mixed_or_stable,120789.21,442930.550,563719.760,1,No action – monitor only
423,999999,mixed_or_stable,102333.39,436440.385,538773.775,1,No action – monitor only
147,999999,mixed_or_stable,97763.435,434747.650865,532511.085865,1,No action – monitor only
426,999999,mixed_or_stable,97611.38,414782.0270,512393.4070,1,No action – monitor only
439,999999,mixed_or_stable,110664.33,399492.145,510156.475,1,No action – monitor only
421,999999,mixed_or_stable,88536.64,412769.245,501305.885,1,No action – monitor only
2095,999999,mixed_or_stable,61028.856,423873.700,484902.556,1,No action – monitor only
419,999999,mixed_or_stable,87386.385,383883.615,471270.000,1,No action – monitor only
436,999999,mixed_or_stable,108645.075,345371.085,454016.160,1,No action – monitor only
420,999999,mixed_or_stable,84868.38,340539.3785,425407.7585,1,No action – monitor only
1610,999999,mixed_or_stable,58387.816,360832.52707,419220.34307,1,No action – monitor only
148,999999,mixed_or_stable,67305.441,347964.000120,415269.441120,1,No action – monitor only
432,999999,mixed_or_stable,84740.95,315931.8010,400672.7510,1,No action – monitor only
425,999999,mixed_or_stable,86445.735,310572.540,397018.275,1,No action – monitor only
163,999999,mixed_or_stable,60006.5375,328863.3373,388869.8748,1,No action – monitor only
447,999999,mixed_or_stable,91423.800,286049.6265,377473.4265,1,No action – monitor only
424,999999,mixed_or_stable,72531.010,304392.92050,376923.93050,1,No action – monitor only
443,999999,mixed_or_stable,78479.610,294765.400,373245.010,1,No action – monitor only
157,999999,mixed_or_stable,68972.6475,297925.141565,366897.789065,1,No action – monitor only
440,999999,mixed_or_stable,83039.67,277983.80750,361023.47750,1,No action – monitor only
1605,999999,mixed_or_stable,51316.328,297621.95682,348938.28482,1,No action – monitor only
459,999999,mixed_or_stable,63640.0,272244.0815,335884.0815,1,No action – monitor only
460,999999,mixed_or_stable,74156.50,261581.7770,335738.2770,1,No action – monitor only
2096,999999,mixed_or_stable,61723.9488,273201.9030,334925.8518,1,No action – monitor only
430,999999,mixed_or_stable,73287.975,257601.13725,330889.11225,1,No action – monitor only
449,999999,mixed_or_stable,65479.920,263057.005,328536.925,1,No action – monitor only
1422,999999,mixed_or_stable,36432.144,292103.644,328535.788,1,No action – monitor only
435,999999,mixed_or_stable,82302.740,244244.01125,326546.75125,1,No action – monitor only
1659,999999,mixed_or_stable,36721.482,282621.60952,319343.09152,1,No action – monitor only
431,999999,mixed_or_stable,57944.040,259925.445,317869.485,1,No action – monitor only
1443,999999,mixed_or_stable,49724.22,264836.782,314561.002,1,No action – monitor only
2090,999999,mixed_or_stable,44945.739,262487.3125,307433.0515,1,No action – monitor only
1408,999999,mixed_or_stable,34983.892,272096.440,307080.332,1,No action – monitor only
1579,999999,mixed_or_stable,34219.296,262561.071,296780.367,1,No action – monitor only
453,999999,mixed_or_stable,51924.030,244598.6565,296522.6865,1,No action – monitor only
1409,999999,mixed_or_stable,58584.03,237216.216,295800.246,1,No action – monitor only
1650,999999,mixed_or_stable,40901.256,251520.21659,292421.47259,1,No action – monitor only
446,999999,mixed_or_stable,65657.97,226365.94150,292023.91150,1,No action – monitor only
1452,999999,mixed_or_stable,58692.744,220916.726,279609.470,1,No action – monitor only
1654,999999,mixed_or_stable,39512.418,239865.73404,279378.15204,1,No action – monitor only
587,999999,systematic_overforecast,39919.95,236212.875,276132.825,1,Reduce safety buffers and tighten replenishment thresholds
1609,999999,mixed_or_stable,33327.566,235467.48321,268795.04921,1,No action – monitor only
442,999999,mixed_or_stable,53595.2,213840.4205,267435.6205,1,No action – monitor only
380,999999,mixed_or_stable,40455.72,226389.72,266845.44,1,No action – monitor only
164,999999,mixed_or_stable,48981.1605,217709.4670,266690.6275,1,No action – monitor only
158,999999,mixed_or_stable,71274.2650,191840.455980,263114.720980,1,No action – monitor only
161,999999,mixed_or_stable,40646.1865,220715.5406,261361.7271,1,No action – monitor only
1425,999999,mixed_or_stable,37262.402,222715.348,259977.750,1,No action – monitor only
1604,999999,mixed_or_stable,39779.452,217557.81207,257337.26407,1,No action – monitor only
2111,999999,mixed_or_stable,46874.0448,209279.1870,256153.2318,1,No action – monitor only
1623,999999,mixed_or_stable,32746.328,222126.444,254872.772,1,No action – monitor only
1614,999999,mixed_or_stable,37944.670,215397.29517,253341.96517,1,No action – monitor only
151,999999,mixed_or_stable,38317.76,212859.716010,251177.476010,1,No action – monitor only
418,999999,mixed_or_stable,57942.230,193039.89525,250982.12525,1,No action – monitor only
452,999999,mixed_or_stable,52986.15,197057.60400,250043.75400,1,No action – monitor only
576,999999,mixed_or_stable,40570.530,208541.550,249112.080,1,No action – monitor only
2085,999999,mixed_or_stable,33940.215,213993.000,247933.215,1,No action – monitor only
441,999999,mixed_or_stable,52627.290,194696.5625,247323.8525,1,No action – monitor only
1615,999999,mixed_or_stable,34089.184,213041.15350,247130.33750,1,No action – monitor only
162,999999,mixed_or_stable,45314.8270,197778.3074,243093.1344,1,No action – monitor only
343,999999,mixed_or_stable,26398.70,212194.920,238593.620,1,No action – monitor only
1652,999999,mixed_or_stable,53651.514,184343.77811,237995.29211,1,No action – monitor only
2110,999999,mixed_or_stable,37869.363,197172.690,235042.053,1,No action – monitor only
1435,999999,mixed_or_stable,36622.332,197992.406,234614.738,1,No action – monitor only
152,999999,mixed_or_stable,30838.73,200629.048155,231467.778155,1,No action – monitor only
454,999999,mixed_or_stable,53251.2,176305.4275,229556.6275,1,No action – monitor only
160,999999,mixed_or_stable,53443.0525,173354.574035,226797.626535,1,No action – monitor only
374,999999,mixed_or_stable,25177.23,200130.435,225307.665,1,No action – monitor only
1461,999999,mixed_or_stable,38044.504,187140.184,225184.688,1,No action – monitor only
633,999999,mixed_or_stable,37258.62,186973.650,224232.270,1,No action – monitor only
2097,999999,mixed_or_stable,42937.0500,176723.4007,219660.4507,1,No action – monitor only
564,999999,mixed_or_stable,31876.845,186812.745,218689.590,1,No action – monitor only
1660,999999,mixed_or_stable,37970.816,178729.24671,216700.06271,1,No action – monitor only
1415,999999,mixed_or_stable,37690.672,177496.2,215186.872,1,No action – monitor only
2101,999999,mixed_or_stable,40324.7529,173467.5345,213792.2874,1,No action – monitor only
150,999999,mixed_or_stable,29366.48,183412.02654,212778.50654,1,No action – monitor only
1580,999999,mixed_or_stable,36526.704,174609.357,211136.061,1,No action – monitor only
2105,999999,mixed_or_stable,42868.764,165943.105,208811.869,1,No action – monitor only
1463,999999,mixed_or_stable,42523.944,166249.372,208773.316,1,No action – monitor only
1577,999999,mixed_or_stable,36650.056,170017.146,206667.202,1,No action – monitor only
1612,999999,mixed_or_stable,35152.419,170646.89909,205799.31809,1,No action – monitor only
448,999999,mixed_or_stable,54764.8,150215.5440,204980.3440,1,No action – monitor only
1411,999999,mixed_or_stable,35074.104,169803.728,204877.832,1,No action – monitor only
1903,999999,mixed_or_stable,25127.214,175971.290088,201098.504088,1,No action – monitor only
2086,999999,mixed_or_stable,45558.5370,154771.60725,200330.14425,1,No action – monitor only
2091,999999,mixed_or_stable,40050.3525,159764.3190,199814.6715,1,No action – monitor only
1607,999999,mixed_or_stable,35980.119,163600.47058,199580.58958,1,No action – monitor only
1442,999999,mixed_or_stable,37542.834,159595.068,197137.902,1,No action – monitor only
1428,999999,mixed_or_stable,28443.792,166353.496,194797.288,1,No action – monitor only
2100,999999,mixed_or_stable,27508.923,166475.875,193984.798,1,No action – monitor only
1439,999999,mixed_or_stable,36570.564,157331.496,193902.060,1,No action – monitor only
137,999999,mixed_or_stable,26441.9500,165444.441045,191886.391045,1,No action – monitor only
458,999999,mixed_or_stable,40437.450,150508.6330,190946.0830,1,No action – monitor only
1651,999999,mixed_or_stable,38543.323,152305.04034,190848.36334,1,No action – monitor only
575,999999,mixed_or_stable,41060.52,149106.15,190166.67,1,No action – monitor only
1622,999999,mixed_or_stable,26977.808,161541.408,188519.216,1,No action – monitor only
1413,999999,mixed_or_stable,28077.5,158800.096,186877.596,1,No action – monitor only
1426,999999,mixed_or_stable,33917.07,152654.664,186571.734,1,No action – monitor only
2106,999999,mixed_or_stable,38052.8790,147225.7215,185278.6005,1,No action – monitor only
